,Feature1,Feature2
1018,CYP4B1,AGTR1
1019,CYP4B1,BCAS1
1020,CYP4B1,CACNG4
1021,CYP4B1,CYP4X1
1022,CYP4B1,GABBR2
1023,CYP4B1,GJB1
1024,CYP4B1,HRASLS5
1025,CYP4B1,LOC389033
1026,CYP4B1,MAPT
1027,CYP4B1,NMU
1028,CYP4B1,RASAL1
1029,CYP4B1,ROPN1B
1030,CYP4B1,SHC4
1031,CYP4B1,SYTL5
1032,CYP4B1,TMPRSS6
1033,CYP4B1,TPSG1
1034,CYP4B1,TSPAN1
1035,CYP4F11,MAPT
1036,CYP4F22,CYP4F11
1037,CYP4F22,FLT3
1038,CYP4F22,RBM24
1039,CYP4F22,SHISA2
1040,CYP4F22,SLC26A3
1041,CYP4F8,ANKRD43
1042,CYP4F8,CST4
1043,CYP4F8,CYP4B1
1044,CYP4F8,CYP4F11
1045,CYP4F8,CYP4F22
1046,CYP4F8,CYP4Z2P
1047,CYP4F8,DLX2
1048,CYP4F8,LOC389033
1049,CYP4F8,ROBO2
1050,CYP4F8,SHISA2
1051,CYP4F8,SLC26A3
1052,CYP4F8,ZNF385B
1053,CYP4X1,C3orf57
1054,CYP4X1,CCNO
1055,CYP4X1,FGF10
1056,CYP4X1,ONECUT2
1057,CYP4Z1,CDH1
1058,CYP4Z1,CTNND2
1059,CYP4Z1,CYP4X1
1060,CYP4Z1,CYP4Z2P
1061,CYP4Z1,DLX2
1062,CYP4Z1,NTNG1
1063,CYP4Z1,PLA2G3
1064,CYP4Z1,PYDC1
1065,CYP4Z1,TFAP2B
1066,CYP4Z1,VTCN1
1067,CYP4Z2P,ABCA12
1068,CYP4Z2P,ANKRD43
1069,CYP4Z2P,AR
1070,CYP4Z2P,CYP4B1
1071,CYP4Z2P,F7
1072,CYP4Z2P,HGD
1073,CYP4Z2P,HORMAD1
1074,CYP4Z2P,HS6ST3
1075,CYP4Z2P,KLHDC7A
1076,CYP4Z2P,NAT1
1077,CYP4Z2P,S100A1
1078,CYP4Z2P,SCNN1G
1079,CYP4Z2P,SHISA2
1080,CYP4Z2P,SLC26A3
1081,CYP4Z2P,TMC5
1082,DACH1,ADAMTS15
1083,DACH1,CLSTN2
1084,DACH1,NOVA1
1085,DARC,TMEM132C
1086,DCD,DKK1
1087,DCD,GJB1
1088,DCD,GPR26
1089,DCD,PAX7
1090,DCD,PCOLCE2
1091,DCD,PPP1R1A
1092,DCD,TRPV6
1093,DCD,WT1
1094,DCDC2,C2orf40
1095,DCDC2,NKX2-2
1096,DCDC2,PAH
1097,DCX,CHGA
1098,DCX,DLGAP1
1099,DCX,PIK3C2G
1100,DCX,SCNN1G
1101,DEFB1,PIK3C2G
1102,DHRS2,ABCA12
1103,DHRS2,APOD
1104,DHRS2,C19orf33
1105,DHRS2,CACNG4
1106,DHRS2,CYP4F8
1107,DHRS2,ELOVL2
1108,DHRS2,FSIP1
1109,DHRS2,GLRA3
1110,DHRS2,GPRIN2
1111,DHRS2,IGDCC3
1112,DHRS2,KLHDC7A
1113,DHRS2,LOC440905
1114,DHRS2,MAPK4
1115,DHRS2,S100A1
1116,DHRS2,SHISA9
1117,DHRS2,SYNPO2L
1118,DHRS2,SYTL5
1119,DHRS2,TMPRSS4
1120,DHRS2,TTC36
1121,DIO1,AKR7A3
1122,DIO1,CYP4B1
1123,DIO1,DCX
1124,DIO1,GJB1
1125,DIO1,GLYATL1
1126,DIO1,HRASLS5
1127,DIO1,NMU
1128,DIO1,SPDYC
1129,DIO1,SYNPO2L
1130,DIO1,THRSP
1131,DIO1,TPSG1
1132,DIO1,TRH
1133,DIO1,TTC36
1134,DKK1,ADAMTS19
1135,DKK1,BCL11A
1136,DKK1,C1orf106
1137,DKK1,DACH1
1138,DKK1,HSD17B2
1139,DKK1,PSAT1
1140,DKK1,TMEM40
1141,DLGAP1,IRX1
1142,DLK1,CNTFR
1143,DLK1,HSD17B2
1144,DLK1,TDRD1
1145,DLX2,LOC389033
1146,DLX2,SLC1A1
1147,DLX2,ZNF385B
1148,DSC3,ANXA8
1149,DSC3,ANXA8L2
1150,DSC3,DSG1
1151,DSC3,FAT2
1152,DSC3,PKP1
1153,DSC3,SERPINB5
1154,DSC3,TRIM29
1155,DSG1,BCL11A
1156,DSG1,FAT2
1157,DSG1,FOXA1
1158,DSG1,GPRIN2
1159,DSG1,MAPK4
1160,DSG1,PI15
1161,DSG1,PIK3C2G
1162,DSG3,ANXA8L2
1163,DSG3,DSC3
1164,DSG3,FAT2
1165,DSG3,PKP1
1166,DSG3,PTPRZ1
1167,DSG3,S100A2
1168,DSG3,SERPINB5
1169,EDN3,C2orf40
1170,EDN3,FAT2
1171,EDN3,IRX1
1172,EDN3,LGR6
1173,EEF1A2,ABCC8
1174,EEF1A2,AKR7A3
1175,EEF1A2,BCL11A
1176,EEF1A2,CACNG4
1177,EEF1A2,CDH1
1178,EEF1A2,CHST8
1179,EEF1A2,CLSTN2
1180,EEF1A2,HORMAD1
1181,EEF1A2,KNDC1
1182,EEF1A2,LOC84740
1183,EEF1A2,MYT1
1184,EEF1A2,SDR16C5
1185,EEF1A2,SYTL5
1186,EEF1A2,TMPRSS6
1187,EEF1A2,TNNT1
1188,EEF1A2,TPSG1
1189,EEF1A2,TSPAN1
1190,ELF5,ATP6V0A4
1191,ELF5,CAPN6
1192,ELF5,CYP4B1
1193,ELF5,GPRIN2
1194,ELF5,GRB14
1195,ELF5,HORMAD1
1196,ELF5,MUC15
1197,ELF5,PART1
1198,ELF5,PLCH1
1199,ELF5,PPP1R1B
1200,ELF5,RASAL1
1201,ELF5,ROPN1
1202,ELF5,ROPN1B
1203,ELF5,SLC15A1
1204,ELF5,TRPV6
1205,ELF5,TTYH1
1206,ELF5,UGT8
1207,ELF5,VGLL1
1208,ELF5,ZIC1
1209,ELOVL2,AFF3
1210,ELOVL2,ATRNL1
1211,ELOVL2,CLSTN2
1212,ELOVL2,FLT3
1213,ELOVL2,HRASLS5
1214,ELOVL2,HSD17B2
1215,ELOVL2,IGDCC3
1216,ELOVL2,MAPT
1217,ELOVL2,NKAIN1
1218,ELOVL2,PLIN5
1219,ELOVL2,RBM24
1220,ELOVL2,SYTL5
1221,EPYC,CD177
1222,EPYC,COL11A1
1223,EPYC,WT1
1224,ERBB2,PAM50Call_RNAseq
1225,ERBB4,ACTL8
1226,ERBB4,AFF3
1227,ERBB4,AKR7A3
1228,ERBB4,AR
1229,ERBB4,ART3
1230,ERBB4,C16orf89
1231,ERBB4,DACH1
1232,ERBB4,FLJ45983
1233,ERBB4,FOXA1
1234,ERBB4,GJB3
1235,ERBB4,HEPACAM2
1236,ERBB4,MARCO
1237,ERBB4,NEK10
1238,ERBB4,RASAL1
1239,ERBB4,SBSN
1240,ERBB4,SLC7A2
1241,ERBB4,UGT2B15
1242,ESR1,ADAMTS15
1243,ESR1,AFF3
1244,ESR1,ANKRD30B
1245,ESR1,BCL11A
1246,ESR1,COL9A3
1247,ESR1,CYP4F11
1248,ESR1,DACH1
1249,ESR1,FLJ45983
1250,ESR1,LPPR3
1251,ESR1,MAPT
1252,ESR1,PAM50Call_RNAseq
1253,ESR1,PDZK1
1254,ESR1,PSAT1
1255,ESR1,RASAL1
1256,ESR1,SCUBE2
1257,ESR1,TPSG1
1258,F7,ADAMTS15
1259,F7,EMX1
1260,F7,HPX
1261,F7,SLC6A11
1262,F7,TTC36
1263,FABP4,AQP7
1264,FABP4,DARC
1265,FABP4,HBA1
1266,FABP4,LEP
1267,FABP4,PCK1
1268,FABP4,PLA2G2A
1269,FABP4,RBP4
1270,FABP4,TMEM132C
1271,FABP7,BCL11A
1272,FABP7,COL9A3
1273,FABP7,FAM5C
1274,FABP7,GLYATL2
1275,FABP7,KRT15
1276,FABP7,PART1
1277,FABP7,PPP1R14C
1278,FABP7,ROPN1
1279,FABP7,SCRG1
1280,FABP7,SLC6A14
1281,FABP7,SLPI
1282,FABP7,TTYH1
1283,FABP7,UGT8
1284,FABP7,VGLL1
1285,FAM196A,C1orf106
1286,FAM196A,NEURL
1287,FAM196A,NOVA1
1288,FAM196A,PHGR1
1289,FAM196A,RBM24
1290,FAM196A,RGS22
1291,FAM196A,SEZ6L
1292,FAM196A,SYNPO2L
1293,FAM196A,TRPV6
1294,FAM3B,C3orf57
1295,FAM3B,CTNND2
1296,FAM3B,IGDCC3
1297,FAM3B,MAGEA1
1298,FAM3B,POF1B
1299,FAM5B,ATRNL1
1300,FAM5B,COL11A1
1301,FAM5B,NEURL
1302,FAM5B,NOVA1
1303,FAM5B,PI15
1304,FAM5B,SHISA9
1305,FAM5B,UGT2B15
1306,FAM5C,ABCC12
1307,FAM5C,APOD
1308,FAM5C,ATP13A4
1309,FAM5C,ATP13A5
1310,FAM5C,CXCL17
1311,FAM5C,FAM83A
1312,FAM5C,MUC15
1313,FAM5C,NEURL
1314,FAM5C,NTNG1
1315,FAM5C,PLA2G2A
1316,FAM5C,POF1B
1317,FAM5C,PPP1R1B
1318,FAM5C,RIMS4
1319,FAM83A,C1orf106
1320,FAM83A,CXCL14
1321,FAM83A,GLYATL1
1322,FAM83A,HRASLS5
1323,FAM83A,LOC389033
1324,FAM83A,S100A1
1325,FAM83E,PP14571
1326,FAM83E,TSPAN1
1327,FAT2,IRX4
1328,FAT2,PIK3C2G
1329,FBN3,COL9A3
1330,FBN3,DACH1
1331,FBN3,GPRIN2
1332,FBN3,LY6K
1333,FBN3,NMU
1334,FCRL5,ADAM6
1335,FGB,FGG
1336,FGF10,SLC1A1
1337,FGFBP1,GJB3
1338,FGFBP1,PCOLCE2
1339,FLJ45983,B3GNT3
1340,FLJ45983,C1orf106
1341,FLJ45983,KCNG1
1342,FLJ45983,PAM50Call_RNAseq
1343,FLJ45983,PPP1R14C
1344,FLJ45983,PSAT1
1345,FLJ45983,RGS22
1346,FLJ45983,SEZ6L
1347,FLJ45983,TPSG1
1348,FLT3,TMEM132C
1349,FOLR1,B3GNT3
1350,FOLR1,C1orf106
1351,FOLR1,CAPN6
1352,FOLR1,GSTA1
1353,FOLR1,LGR6
1354,FOLR1,MMP7
1355,FOLR1,PI15
1356,FOLR1,PON3
1357,FOLR1,SFRP1
1358,FOLR1,SLPI
1359,FOLR1,SYT8
1360,FOLR1,TMEM40
1361,FOLR1,TTYH1
1362,FOXA1,AR
1363,FOXA1,CHI3L2
1364,FOXA1,GABBR2
1365,FOXA1,LOC84740
1366,FOXA1,PAM50Call_RNAseq
1367,FOXA1,TOX3
1368,FOXI1,ATP6V0A4
1369,FOXI1,PON3
1370,FOXI1,SLC28A3
1371,FOXI1,VSIG2
1372,FOXJ1,EMX1
1373,FREM2,ABCC12
1374,FREM2,CNTFR
1375,FREM2,CTNND2
1376,FREM2,GLDC
1377,FREM2,KCNF1
1378,FREM2,KNDC1
1379,FREM2,KRT23
1380,FREM2,LGR6
1381,FREM2,MKX
1382,FREM2,SCNN1G
1383,FREM2,TSPAN1
1384,FSIP1,AFF3
1385,FSIP1,AR
1386,FSIP1,BCL11A
1387,FSIP1,CLGN
1388,FSIP1,DACH1
1389,FSIP1,HSD17B2
1390,FSIP1,MAPT
1391,FSIP1,MARCO
1392,FSIP1,PHGR1
1393,FSIP1,RGS22
1394,FSIP1,TSPAN1
1395,FSIP1,TTC36
1396,FSIP1,UGT2B15
1397,FUT3,B3GNT3
1398,FUT3,C1orf106
1399,FUT3,DACH1
1400,FUT3,FUT6
1401,FUT3,NOVA1
1402,FUT3,TMEM40
1403,FUT6,PDZK1IP1
1404,GABBR2,FBN3
1405,GABBR2,GJB3
1406,GABBR2,PCOLCE2
1407,GABBR2,SLC15A1
1408,GABBR2,SLC6A11
1409,GABBR2,SMOC1
1410,GABBR2,ZFP57
1411,GABRB3,IRX4
1412,GABRP,BBOX1
1413,GABRP,BCL11A
1414,GABRP,DSC3
1415,GABRP,DSG1
1416,GABRP,FAT2
1417,GABRP,KLK10
1418,GABRP,KRT14
1419,GABRP,MMP7
1420,GABRP,MUC16
1421,GABRP,OLFM4
1422,GABRP,PPP1R14C
1423,GABRP,ROPN1
1424,GABRP,SFRP1
1425,GABRP,SLC34A2
1426,GABRP,SOX10
1427,GABRP,VGLL1
1428,GABRP,ZFP57
1429,GFRA1,ATRNL1
1430,GFRA1,CLSTN2
1431,GFRA1,ELOVL2
1432,GFRA1,EMX1
1433,GFRA1,ERBB4
1434,GFRA1,ESR1
1435,GFRA1,FLJ45983
1436,GFRA1,FSIP1
1437,GFRA1,GRPR
1438,GFRA1,MAPT
1439,GFRA1,NELL2
1440,GFRA1,NOVA1
1441,GFRA1,PLIN5
1442,GFRA1,RIMS4
1443,GFRA1,SBSN
1444,GFRA1,SCUBE2
1445,GFRA1,SMOC1
1446,GFRA1,TPSG1
1447,GFRA1,TRPV6
1448,GJB1,ATP13A4
1449,GJB1,CCNO
1450,GJB1,CRYM
1451,GJB1,GLYATL1
1452,GJB1,PDZK1IP1
1453,GJB1,SCGN
1454,GJB1,TDRD1
1455,GJB1,VIPR2
1456,GLDC,FBN3
1457,GLDC,KRT13
1458,GLDC,NAT1
1459,GLDC,PCSK1N
1460,GLDC,SBSN
1461,GLDC,SLC1A1
1462,GLRA3,AREG
1463,GLRA3,ARHGAP36
1464,GLRA3,C1orf173
1465,GLRA3,CTNND2
1466,GLRA3,DCDC2
1467,GLRA3,PCDH10
1468,GLRA3,RBM24
1469,GLRA3,TFPI2
1470,GLRA3,WDR72
1471,GLYATL1,DLGAP1
1472,GLYATL1,GJB3
1473,GLYATL1,GRM4
1474,GLYATL2,ATP13A5
1475,GLYATL2,DEFB1
1476,GLYATL2,DKK1
1477,GLYATL2,DOK7
1478,GLYATL2,FUT3
1479,GLYATL2,GLYATL1
1480,GLYATL2,RBM24
1481,GLYATL2,SLC5A1
1482,GLYATL2,SLPI
1483,GLYATL2,TRH
1484,GLYATL2,TRPV6
1485,GP2,ABCC8
1486,GP2,ADAMTS15
1487,GP2,ANKRD43
1488,GP2,ART3
1489,GP2,C1orf64
1490,GP2,CST4
1491,GP2,CYP4B1
1492,GP2,F7
1493,GP2,FBN3
1494,GP2,FLJ45983
1495,GP2,GRM4
1496,GP2,HPX
1497,GP2,NEK10
1498,GP2,PSAT1
1499,GP2,RET
1500,GP2,SCUBE2
1501,GP2,SERPINA11
1502,GP2,SLC44A4
1503,GP2,SLC6A4
1504,GP2,SPAG17
1505,GP2,SYT9
1506,GP2,TTC36
1507,GP2,WFDC2
1508,GPD1,AKR1C2
1509,GPD1,AQP7
1510,GPD1,CIDEA
1511,GPD1,PLIN4
1512,GPD1,PPP1R1A
1513,GPD1,RBP4
1514,GPD1,TMEM132C
1515,GPR26,AKR7A3
1516,GPR26,FGF10
1517,GPR26,RIMS2
1518,GPR26,WT1
1519,GPR98,AREG
1520,GPR98,C2CD4A
1521,GPR98,C3orf57
1522,GPR98,CLGN
1523,GPR98,CTNND2
1524,GPR98,GLYATL1
1525,GPR98,LOC440905
1526,GPR98,SLC1A1
1527,GPR98,TOX3
1528,GPRIN2,CDH1
1529,GPRIN2,GATA4
1530,GPRIN2,PDZK1IP1
1531,GRB14,BCAS1
1532,GRB14,KRT23
1533,GRB14,PHGR1
1534,GRB14,RASAL1
1535,GRB14,SYNPO2L
1536,GRB14,TFPI2
1537,GRIA2,ADAMTS19
1538,GRIA2,BMPR1B
1539,GRIA2,C2orf54
1540,GRIA2,CARTPT
1541,GRIA2,DKK1
1542,GRIA2,FOXI1
1543,GRIA2,IGSF1
1544,GRIA2,KCNC2
1545,GRIA2,LOC728606
1546,GRIA2,NPY1R
1547,GRIA2,PAX7
1548,GRIA2,PHGR1
1549,GRIA2,PSCA
1550,GRIA2,ROBO2
1551,GRIA2,VIPR2
1552,GRIK3,DOK7
1553,GRIK3,EMX1
1554,GRIK3,SEZ6L
1555,GRM4,ADAMTS19
1556,GRPR,ADAMTS15
1557,GRPR,ANKRD43
1558,GRPR,DIO1
1559,GRPR,EMX1
1560,GRPR,ERBB4
1561,GRPR,HGD
1562,GRPR,IL20
1563,GRPR,MAPT
1564,GRPR,MKX
1565,GRPR,MUC2
1566,GRPR,NDP
1567,GRPR,NEK10
1568,GRPR,PART1
1569,GRPR,PLIN5
1570,GRPR,RBM24
1571,GRPR,SHISA9
1572,GSTA1,FGFBP1
1573,GSTA1,KRT4
1574,GSTA1,PART1
1575,GSTA1,RHCG
1576,GSTA1,SOSTDC1
1577,HBA1,AQP7
1578,HBA1,CNTFR
1579,HEPACAM2,AFP
1580,HEPACAM2,CLGN
1581,HEPACAM2,FAM83E
1582,HEPACAM2,FGF10
1583,HEPACAM2,MS4A8B
1584,HEPACAM2,PHGR1
1585,HEPACAM2,SCGN
1586,HEPACAM2,SEZ6L
1587,HEPACAM2,SLC26A3
1588,HEPACAM2,ZNF385B
1589,HGD,APOD
1590,HGD,AREG
1591,HGD,GABBR2
1592,HGD,HPX
1593,HGD,IYD
1594,HGD,MAPK4
1595,HGD,SCNN1G
1596,HGD,THRSP
1597,HGD,UGT2B15
1598,HMGCS2,AFP
1599,HMGCS2,ANKRD43
1600,HMGCS2,APOD
1601,HMGCS2,BPIL1
1602,HMGCS2,CALML3
1603,HMGCS2,CAPN8
1604,HMGCS2,F7
1605,HMGCS2,GJB1
1606,HMGCS2,HPX
1607,HMGCS2,KLHDC7A
1608,HMGCS2,LOC728606
1609,HMGCS2,LRRC31
1610,HMGCS2,NEK10
1611,HMGCS2,SLC13A2
1612,HMGCS2,TAT
1613,HMGCS2,VIPR2
1614,HMGCS2,VSIG2
1615,HORMAD1,AR
1616,HORMAD1,ART3
1617,HORMAD1,CYP4B1
1618,HORMAD1,CYP4F11
1619,HORMAD1,FOXA1
1620,HORMAD1,GABBR2
1621,HORMAD1,LY6K
1622,HORMAD1,MARCO
1623,HORMAD1,SCRG1
1624,HORMAD1,TLX1
1625,HORMAD1,TSPAN1
1626,HOTAIR,HOXC10
1627,HOTAIR,HOXC11
1628,HOXB13,ACTL8
1629,HOXB13,AREG
1630,HOXB13,CRYM
1631,HOXB13,DKK1
1632,HOXB13,DLX2
1633,HOXB13,HOXC11
1634,HOXB13,HRASLS5
1635,HOXB13,KCNG1
1636,HOXB13,KIF1A
1637,HOXB13,NKX2-2
1638,HOXB13,PAX7
1639,HOXB13,SLC9A2
1640,HOXB13,ZIC2
1641,HOXC10,DLGAP1
1642,HOXC11,HOXC10
1643,HP,AKR1C2
1644,HP,PCOLCE2
1645,HP,RBP4
1646,HPX,CLGN
1647,HPX,GJB3
1648,HPX,GLYATL1
1649,HRASLS5,MAPT
1650,HRASLS5,MKRN3
1651,HRASLS5,TMEM132C
1652,HS6ST3,C3orf57
1653,HS6ST3,CHI3L2
1654,HS6ST3,CNTFR
1655,HS6ST3,CTNND2
1656,HS6ST3,FAM3B
1657,HS6ST3,GPR98
1658,HS6ST3,IGDCC3
1659,HS6ST3,IL20
1660,HS6ST3,PCDH10
1661,HS6ST3,PI15
1662,HS6ST3,POF1B
1663,HS6ST3,PP14571
1664,HS6ST3,RIMS4
1665,HS6ST3,SHISA2
1666,HS6ST3,SHISA9
1667,HS6ST3,SLC9A2
1668,HS6ST3,TLX1
1669,HS6ST3,TNFSF12-TNFSF13
1670,HSD17B2,DEFB1
1671,HSD17B2,LOC642587
1672,IGDCC3,ADCY5
1673,IGDCC3,ATRNL1
1674,IGDCC3,CTNND2
1675,IGDCC3,MS4A8B
1676,IGDCC3,PDZK1IP1
1677,IGDCC3,RBM24
1678,IGDCC3,SHISA2
1679,IGDCC3,SLC6A11
1680,IGDCC3,SMOC1
1681,IGDCC3,SYNPO2L
1682,IGDCC3,TLX1
1683,IGJ,ADAM6
1684,IGJ,CHRDL1
1685,IGJ,FCRL5
1686,IGJ,POF1B
1687,IGJ,TFPI2
1688,IGSF1,ARHGAP36
1689,IGSF1,CHST8
1690,IGSF1,DCX
1691,IGSF1,GLRA3
1692,IGSF1,TFPI2
1693,IL20,AREG
1694,IL20,EMX1
1695,IL20,FSIP1
1696,IL20,GPR98
1697,IL20,NKAIN1
1698,IL20,PART1
1699,IL20,SLC7A2
1700,IL20,TFPI2
1701,INSM1,ATP6V0A4
1702,INSM1,B3GNT3
1703,INSM1,CPLX2
1704,INSM1,EMX1
1705,INSM1,FAM5B
1706,INSM1,GPR26
1707,INSM1,GRIK3
1708,INSM1,NEURL
1709,INSM1,PCSK1
1710,INSM1,SEZ6L
1711,INSM1,SLC9A2
1712,INSM1,ZNF385B
1713,IRX4,IRX1
1714,IYD,ABCC12
1715,IYD,CDH1
1716,IYD,CECR2
1717,IYD,ERBB2
1718,IYD,GPRIN2
1719,IYD,MAGEA1
1720,IYD,TOX3
1721,KCNC2,C1orf173
1722,KCNC2,FAM5B
1723,KCNC2,LOC728606
1724,KCNC2,PDZK1
1725,KCNC2,PHGR1
1726,KCNC2,PI15
1727,KCNC2,ROBO2
1728,KCNC2,SERPINA11
1729,KCNC2,TMPRSS6
1730,KCNC2,TPRG1
1731,KCNC2,TRH
1732,KCNC2,VIPR2
1733,KCNC2,WFDC2
1734,KCNF1,DOK7
1735,KCNF1,EMX1
1736,KCNG1,B3GNT3
1737,KCNG1,BCL11A
1738,KCNG1,C1orf106
1739,KCNG1,CLGN
1740,KCNG1,FBN3
1741,KCNG1,GABBR2
1742,KCNG1,IRX4
1743,KCNG1,NMU
1744,KCNG1,PSAT1
1745,KCNG1,SLC15A1
1746,KCNG1,SLC6A11
1747,KCNJ3,ADAMTS19
1748,KCNJ3,AFF3
1749,KCNJ3,AGTR1
1750,KCNJ3,BMPR1B
1751,KCNJ3,CEACAM5
1752,KCNJ3,CRABP1
1753,KCNJ3,CST5
1754,KCNJ3,DACH1
1755,KCNJ3,EEF1A2
1756,KCNJ3,FSIP1
1757,KCNJ3,GRIA2
1758,KCNJ3,KRT23
1759,KCNJ3,MSMB
1760,KCNJ3,MYT1
1761,KCNJ3,NELL2
1762,KCNJ3,OBP2B
1763,KCNJ3,PPP1R1B
1764,KCNJ3,PROM1
1765,KCNJ3,SEZ6L
1766,KCNJ3,SLC30A8
1767,KCNJ3,SLC7A2
1768,KCNJ3,TMPRSS4
1769,KCNJ3,TNFSF12-TNFSF13
1770,KCNJ3,TRPV6
1771,KCNJ3,VTCN1
1772,KCNJ3,WDR72
1773,KIF1A,C19orf33
1774,KIF1A,CAPN8
1775,KIF1A,CNTFR
1776,KIF1A,FBN3
1777,KIF1A,GABBR2
1778,KIF1A,KRT81
1779,KIF1A,NMU
1780,KIF1A,PCSK1N
1781,KIF1A,PLIN5
1782,KIF1A,PPP2R2C
1783,KIF1A,PSAT1
1784,KIF1A,SLC6A11
1785,KLHDC7A,ADAMTS15
1786,KLHDC7A,ADCY5
1787,KLHDC7A,AKR7A3
1788,KLHDC7A,ANKRD30B
1789,KLHDC7A,ANKRD43
1790,KLHDC7A,C16orf89
1791,KLHDC7A,CLGN
1792,KLHDC7A,CLSTN2
1793,KLHDC7A,CST4
1794,KLHDC7A,CYP4B1
1795,KLHDC7A,GPR98
1796,KLHDC7A,HGD
1797,KLHDC7A,HORMAD1
1798,KLHDC7A,IGDCC3
1799,KLHDC7A,MAPT
1800,KLHDC7A,SHISA9
1801,KLHDC7A,TLX1
1802,KLHDC7A,TMC5
1803,KLK10,GPRIN2
1804,KLK10,KLK7
1805,KLK10,KLK8
1806,KLK10,MIA
1807,KLK10,MMP7
1808,KLK10,PKP1
1809,KLK11,ANKRD43
1810,KLK11,CYP4F8
1811,KLK11,KLK10
1812,KLK11,SCGB3A1
1813,KLK11,SLC13A2
1814,KLK11,ZNF385B
1815,KLK5,KLK10
1816,KLK5,KLK6
1817,KLK5,KLK7
1818,KLK5,KRT17
1819,KLK5,KRT81
1820,KLK5,LGR6
1821,KLK5,SYT8
1822,KLK6,FOLR1
1823,KLK6,GJB3
1824,KLK6,KLK10
1825,KLK6,KLK7
1826,KLK6,KLK8
1827,KLK6,LCN2
1828,KLK6,PPP1R14C
1829,KLK6,S100A2
1830,KLK6,SERPINB5
1831,KLK6,SYT8
1832,KLK7,DSG1
1833,KLK7,FAT2
1834,KLK7,KLK8
1835,KLK7,SERPINB5
1836,KLK8,DEFB1
1837,KLK8,DSG1
1838,KLK8,KCNG1
1839,KNDC1,CCNO
1840,KNDC1,CYP4F11
1841,KNDC1,IRX4
1842,KNDC1,IYD
1843,KNDC1,LRG1
1844,KNDC1,MKRN3
1845,KNDC1,SLC1A1
1846,KNDC1,TMPRSS6
1847,KNDC1,VIPR2
1848,KRT13,AKR1B10
1849,KRT13,CYP4F11
1850,KRT13,FGFBP1
1851,KRT13,SOX2
1852,KRT14,CALML3
1853,KRT14,COL17A1
1854,KRT14,DSC3
1855,KRT14,DSG3
1856,KRT14,KLK5
1857,KRT14,KRT15
1858,KRT14,KRT17
1859,KRT14,KRT5
1860,KRT14,KRT6B
1861,KRT14,SOX10
1862,KRT15,DSG1
1863,KRT15,EDN3
1864,KRT15,FGFBP1
1865,KRT15,GPRIN2
1866,KRT15,KRT13
1867,KRT15,KRT23
1868,KRT15,LOC642587
1869,KRT15,NPY5R
1870,KRT15,SYT8
1871,KRT16,CA9
1872,KRT16,CHI3L2
1873,KRT16,FOXA1
1874,KRT16,GJB3
1875,KRT16,KRT15
1876,KRT16,KRT17
1877,KRT16,KRT23
1878,KRT16,KRT6C
1879,KRT16,LOC84740
1880,KRT16,LY6D
1881,KRT16,PPP1R14C
1882,KRT16,RET
1883,KRT16,SBSN
1884,KRT16,SERPINB5
1885,KRT16,TRIM29
1886,KRT16,VGLL1
1887,KRT17,ANXA8
1888,KRT17,CALML3
1889,KRT17,DSC3
1890,KRT17,S100A2
1891,KRT17,TMEM40
1892,KRT17,TRIM29
1893,KRT23,CHI3L2
1894,KRT23,CPLX2
1895,KRT23,GPRIN2
1896,KRT23,HRASLS5
1897,KRT23,POF1B
1898,KRT23,S100A1
1899,KRT23,UGT2B15
1900,KRT4,AFF3
1901,KRT4,AKR1B10
1902,KRT4,FGFBP1
1903,KRT4,KRT13
1904,KRT4,RHCG
1905,KRT4,SBSN
1906,KRT4,SOX2
1907,KRT4,TMEM40
1908,KRT5,ANXA8
1909,KRT5,CALML3
1910,KRT5,DSC3
1911,KRT5,DSG3
1912,KRT5,FAT2
1913,KRT5,FGFBP1
1914,KRT5,KRT17
1915,KRT5,KRT6B
1916,KRT5,MMP7
1917,KRT5,TRIM29
1918,KRT6A,AKR1B10
1919,KRT6A,GJB3
1920,KRT6A,KRT13
1921,KRT6A,KRT16
1922,KRT6A,KRT4
1923,KRT6A,KRT6C
1924,KRT6A,LY6D
1925,KRT6A,MMP12
1926,KRT6A,S100A2
1927,KRT6A,SBSN
1928,KRT6B,DEFB1
1929,KRT6B,DSG3
1930,KRT6B,KLK7
1931,KRT6B,KRT16
1932,KRT6B,KRT17
1933,KRT6B,KRT6C
1934,KRT6B,MIA
1935,KRT6B,MMP7
1936,KRT6B,PPP1R14C
1937,KRT6B,S100A2
1938,KRT6B,SERPINB5
1939,KRT6B,SHC4
1940,KRT6B,SOSTDC1
1941,KRT6B,TCN1
1942,KRT6C,RHCG
1943,KRT81,C1orf106
1944,KRT81,FBN3
1945,KRT81,FLJ45983
1946,KRT81,FOLR1
1947,KRT81,KCNG1
1948,KRT81,KRT17
1949,KRT81,KRT23
1950,KRT81,MMP1
1951,KRT81,PCSK1N
1952,KRT81,PPP1R14C
1953,KRT81,SHC4
1954,KRT81,SMOC1
1955,KRT81,SYT8
1956,KRT81,VGLL1
1957,KRT81,ZFP57
1958,LBP,AKR1C2
1959,LBP,C2CD4A
1960,LBP,CASP14
1961,LBP,CCL18
1962,LBP,CXCL17
1963,LBP,FUT3
1964,LBP,GLYATL2
1965,LBP,HP
1966,LBP,HSD17B2
1967,LBP,MMP1
1968,LBP,ORM1
1969,LBP,ORM2
